File	Left Context	Hit	Right Context
wiki_corpus.txt	Bakidaǵı Shirvanshahlar sarayı, 15-ásir, Tabrizdegi Zangori meshit, 1465). XVI-XVIII ásirlerde Kárwansaray, monsha hám kópirler qurıldı, qalalar rawajlandı. Ardabidtegi arxitekturalıq kompleks (arxitektor Shayx Bahovuddin), Shekidegi xanlar 	sarayı 	hám basqa da usi dáwirdiń eń belgili estelikleri bolıp esaplanadı. Ázerbayjandaǵı meshit, maqbara, medirese hám basqa imaratlardıń qurılısı hám bezewleri Orta Aziya hám Iran 
wiki_corpus.txt	qusı», M.Dilboziydiń «Azar qızı», S.Rustamnıń «Tańlanǵan qosıqlar,» I.Guzalovtıń «Sheksiz gorizontlar» kitapları, M.Xuseyn, A.Valiev, M.Rahim, U.Sarivelli, S.Rahimov, Q.	Imamverdiyev 	hám basqa da ázerbayjan shayır, jazıwshı hám dramaturglarınıń shıǵarmaları, «Ázerbayjan shayırları» antologiyası ózbek tilinde basıp shıǵarılǵan. Ázerbayjan jazıwshılarınıń shıǵarmalarında Ózbekstan teması da sáwlelengen S. 
wiki_corpus.txt	hám onıń bólim hám tarawları kóp. Tarawlardıń kópshiligi óz aldına qaraladı. Barlıq ilimler sıyaqlı biologiya da ilimiy metodtan paydalanadı. Bul biologlar ózleriniń idealarına anıqlama bere 	alıwı 	hám basqa biologlar bul ideyalardı ózleri teksere biliwi kerek ekenligin ańlatadı. Biologiya tarawları: anatomiya, araknologiya, astrobiologiya, botanika, bioximiya, biogeografiya, bioinformatika, biofizika, kletka biologiyası, xronobiologiya, 
wiki_corpus.txt	qurıldı, qalalar rawajlandı. Ardabidtegi arxitekturalıq kompleks (arxitektor Shayx Bahovuddin), Shekidegi xanlar sarayı hám basqa da usi dáwirdiń eń belgili estelikleri bolıp esaplanadı. Ázerbayjandaǵı meshit, maqbara, 	medirese 	hám basqa imaratlardıń qurılısı hám bezewleri Orta Aziya hám Iran arxitekturası menen óz ara maslasqan. XIX ásirdiń 1-yarımında Ázerbayjanda qurılısta Rossiya hám Evropa arxitekturasınıń 
wiki_corpus.txt	Kavkaz Albaniya (házirgi Ázerbayjan) da joqarı mádeniyat bar bolganlıǵı belgili. XI-XII ásirlerde parsı tiliniń tásiri kúsheyiwi sebepli Xatib Tabriziy, Baxmanyor, Qatran Tabriziy, Xaganiy, Maxastiy 	Ganjaviy 	hám basqa iri ázerbayjan ilimpaz hám shayırları óz shıǵarmaların parsı tilinde jazadı. Nizamiy Ganjaviy shıǵarmaları — Ázerbayjan poeziyasınıń shoqqısı boldı. XIII-XIV ásirlerde Avxadiy Maroǵiy, 
wiki_corpus.txt	biykarlamaydı da; Shártnama mámleketler xalıqaralıq birlespesi kózqarasınan kelip shıǵıp, Antarktika tek tınısh máselelerde paydalanıwı lazımlıǵın belgileydi. Usıǵan muwapıq, Antarktikanıń tolıq quralsızlandırılǵanlıǵı hám biytárepligi belgilengen. Antarktikada 	ilimiy 	hám basqa izertlewler alıp baratuǵın stantsiya hám ekspeditsiya aǵzaları onı jibergen mámleket yurisdiktsiyası astında boladı, stanciya hám ekspediciyalar arasında olar xızmetkerleri almastırılǵanda da bul 
wiki_corpus.txt	tómenlep, Shirvonshahlar, Kasroniylar, Eldegiziylar patshalıǵı rawajlanıwı menen ónermentshilik, diyqanshılıq, sawda-satıq rawajlandı. Sol dáwirde jetilisip shıqqan Makkiy ibn Ahmad, Bahmanyor, Xatib Tabriziy, Hoqoniy, Nizomiy Ganjaviy, 	Mahastiy 	hám basqa jáhán mádeniyatı gúlleniwine salmaqlı úles qostı.  XIII ásirdiń 30-jıllarında Ázerbayjanǵa monǵollar, XIV ásir aqırında Ámir Temur áskerleri bastırıp kirdi. XIV-XV ásirlerde 
wiki_corpus.txt	ettirildi (Usta Qambar Qarabaǵiy, Mirza Qadim Erivani, Mirmuhsin Navvob). XX ásirde súwretlew óneriniń realistlik túrleri rawajlandı, jana janrlar (kumik grafika, illyustraciya, plakat) payda boldı. A.	Azimzada 	hám basqa Kengerli Ázerbayjan realistlik kórkem ónerine tiykar saldı. 1920-jılı Bakuda súwretshilik mektebi ashıldı, belgili bir temaǵa baǵıshlanǵan reńli súwret, portret, peyzaj (peyzaj), músinshilik, 
wiki_corpus.txt	bir tiri organizmniń ózine tán belgileri qanday?' (Onıń basqa tiri organizmlerden parqı nede?), 'Bul tiri organizmdi qalay klassifikaciyalaw kerek?', 'Bul tiri organizm ne atqaradı?' Biologiya 	haywanlardıń 	hám basqa organizmlerdiń ózin tutıwın, háreketin hám olar qanday ekenligin baqlaydı.  Biologiya ilim sıpatında júzlegen jıllardan beri belgili hám onıń bólim hám tarawları kóp. 
wiki_corpus.txt	kóship keledi. Ol Xirattaǵı Dilkash hám Samarqandtaǵı Uluǵbek medresesinde oqıp tálim aladı. Jámiy putin kúsh-quwatın ilimge, kórkem dóretiwshilikke baǵıshlaydı, til hám ádebiyat, filosofiya, matematika, 	astronomiya 	hám basqa pánler menen shuǵıllanadı. Kitap Jámiydiń eń jaqın dostı boladı. Jámiy bir qatar kórkem ilimiy hám turmıslıq shıǵarmalar dóretti. Ol kópshilik ilim hám 
wiki_corpus.txt	qurılısı hám bezewleri Orta Aziya hám Iran arxitekturası menen óz ara maslasqan. XIX ásirdiń 1-yarımında Ázerbayjanda qurılısta Rossiya hám Evropa arxitekturasınıń tásiri kúsheydi. XX ásir 	Baku 	hám basqa qalalar qayta qurıldı, jańa imarat hám imaratlar qurıldı. Baspasóz úyi (arxitektorı S. S. Pen), «Inturist» miymanxanası (arxitektorı A. V. Shchusev), Nizamiy atındaǵı 
